"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2696","18137.00","6.73","53.00","54388.00","20.17","65.00","4074.00","10.10","12.00","0.29","4"
"40320.00","2682","17765.00","6.62","53.00","54129.00","20.18","66.00","3966.00","9.84","12.00","0.30","4"
"40320.00","2682","17765.00","6.62","53.00","54129.00","20.18","66.00","3966.00","9.84","12.00","0.30","4"
"40320.00","2708","18088.00","6.68","64.00","53958.00","19.93","74.00","4445.00","11.02","12.00","0.27","5"
"40320.00","2685","17512.00","6.52","51.00","53747.00","20.02","61.00","4105.00","10.18","12.00","0.29","4"
"40320.00","2685","17512.00","6.52","51.00","53747.00","20.02","61.00","4105.00","10.18","12.00","0.29","4"
"40320.00","2683","18709.00","6.97","66.00","54544.00","20.33","81.00","4505.00","11.17","12.00","0.27","5"
"40320.00","2683","18709.00","6.97","66.00","54544.00","20.33","81.00","4505.00","11.17","12.00","0.27","5"
"40320.00","2712","24994.00","9.22","73.00","61429.00","22.65","85.00","3885.00","9.64","12.00","0.31","7"
"40320.00","2690","18942.00","7.04","68.00","54981.00","20.44","83.00","4291.00","10.64","12.00","0.28","4"
"40320.00","2690","18942.00","7.04","68.00","54981.00","20.44","83.00","4291.00","10.64","12.00","0.28","4"
"40320.00","2701","20259.00","7.50","55.00","56552.00","20.94","70.00","4027.00","9.99","12.00","0.30","4"
"40320.00","2701","20259.00","7.50","55.00","56552.00","20.94","70.00","4027.00","9.99","12.00","0.30","4"
"40320.00","2716","19155.00","7.05","57.00","55253.00","20.34","72.00","4237.00","10.51","12.00","0.28","4"
"40320.00","2678","19287.00","7.20","69.00","54781.00","20.46","84.00","4832.00","11.98","12.00","0.25","5"
