"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2684","21413.00","7.98","60.00","57477.00","21.41","75.00","4261.00","10.57","12.00","0.28","5"
"40320.00","2684","21413.00","7.98","60.00","57477.00","21.41","75.00","4261.00","10.57","12.00","0.28","5"
"40320.00","2693","23979.00","8.90","79.00","60200.00","22.35","94.00","4089.00","10.14","12.00","0.29","6"
"40320.00","2691","19130.00","7.11","76.00","55000.00","20.44","86.00","4460.00","11.06","12.00","0.27","6"
"40320.00","2691","19130.00","7.11","76.00","55000.00","20.44","86.00","4460.00","11.06","12.00","0.27","6"
"40320.00","2666","22601.00","8.48","91.00","58544.00","21.96","106.00","4387.00","10.88","12.00","0.27","7"
"40320.00","2700","17224.00","6.38","41.00","53550.00","19.83","55.00","4009.00","9.94","12.00","0.30","3"
"40320.00","2700","17224.00","6.38","41.00","53550.00","19.83","55.00","4009.00","9.94","12.00","0.30","3"
"40320.00","2661","18274.00","6.87","48.00","54553.00","20.50","63.00","4049.00","10.04","12.00","0.30","4"
"40320.00","2675","16491.00","6.16","58.00","52238.00","19.53","73.00","4583.00","11.37","12.00","0.26","4"
"40320.00","2675","16491.00","6.16","58.00","52238.00","19.53","73.00","4583.00","11.37","12.00","0.26","4"
"40320.00","2670","16041.00","6.01","60.00","51865.00","19.43","70.00","4496.00","11.15","12.00","0.27","5"
"40320.00","2661","15643.00","5.88","48.00","51316.00","19.28","61.00","4651.00","11.54","12.00","0.26","4"
"40320.00","2661","15643.00","5.88","48.00","51316.00","19.28","61.00","4651.00","11.54","12.00","0.26","4"
"40320.00","2678","17768.00","6.63","55.00","53223.00","19.87","70.00","4865.00","12.07","12.00","0.25","5"
"40320.00","2678","17768.00","6.63","55.00","53223.00","19.87","70.00","4865.00","12.07","12.00","0.25","5"
"40320.00","2689","16565.00","6.16","71.00","52172.00","19.40","81.00","4716.00","11.70","12.00","0.25","6"
"40320.00","2696","21267.00","7.89","66.00","57342.00","21.27","81.00","4253.00","10.55","12.00","0.28","5"
"40320.00","2696","21267.00","7.89","66.00","57342.00","21.27","81.00","4253.00","10.55","12.00","0.28","5"
"40320.00","2669","18878.00","7.07","53.00","54704.00","20.50","68.00","4499.00","11.16","12.00","0.27","4"
"40320.00","2697","21436.00","7.95","68.00","57575.00","21.35","78.00","4192.00","10.40","12.00","0.29","5"
"40320.00","2697","21436.00","7.95","68.00","57575.00","21.35","78.00","4192.00","10.40","12.00","0.29","5"
"40320.00","2671","16754.00","6.27","56.00","52296.00","19.58","71.00","4783.00","11.86","12.00","0.25","4"
"40320.00","2671","16754.00","6.27","56.00","52296.00","19.58","71.00","4783.00","11.86","12.00","0.25","4"
"40320.00","2675","17652.00","6.60","55.00","53417.00","19.97","68.00","4548.00","11.28","12.00","0.26","4"
"40320.00","2679","17576.00","6.56","53.00","53469.00","19.96","63.00","4437.00","11.00","12.00","0.27","4"
"40320.00","2679","17576.00","6.56","53.00","53469.00","19.96","63.00","4437.00","11.00","12.00","0.27","4"
"40320.00","2689","15711.00","5.84","63.00","51706.00","19.23","78.00","4335.00","10.75","12.00","0.28","4"
"40320.00","2689","15711.00","5.84","63.00","51706.00","19.23","78.00","4335.00","10.75","12.00","0.28","4"
"40320.00","2680","19618.00","7.32","55.00","55864.00","20.84","70.00","4084.00","10.13","12.00","0.29","4"
"40320.00","2687","21915.00","8.16","84.00","58042.00","21.60","94.00","4198.00","10.41","12.00","0.29","7"
"40320.00","2687","21915.00","8.16","84.00","58042.00","21.60","94.00","4198.00","10.41","12.00","0.29","7"
"40320.00","2701","19908.00","7.37","73.00","55891.00","20.69","83.00","4340.00","10.76","12.00","0.28","5"
"40320.00","2678","16203.00","6.05","73.00","52087.00","19.45","83.00","4451.00","11.04","12.00","0.27","6"
"40320.00","2678","16203.00","6.05","73.00","52087.00","19.45","83.00","4451.00","11.04","12.00","0.27","6"
"40320.00","2685","19898.00","7.41","51.00","56171.00","20.92","71.00","4052.00","10.05","12.00","0.30","4"
